type	algorithm	optimization	text	data	bss	h(0)	h(8)	h(16)	h(32)	h(64)	h(128)	h(256)	h(512)	h(1024)
HASH	LWC_ALGO_HASH_ORANGISHV1	O1	1528	128	1612	1392408	2089840	2088371	2784600	4177629	6961972	12532387	23667984	45939302	
HASH	LWC_ALGO_HASH_ORANGISHV1	O2	1572	128	1612	1535682	2304648	2307369	3077227	4615333	7695572	13851524	26174669	50820358	
HASH	LWC_ALGO_HASH_ORANGISHV1	O3	2256	128	1612	893000	1342557	1341739	1788808	2683065	4472129	8048757	15198032	29494142	
HASH	LWC_ALGO_HASH_ORANGISHV1	Os	1412	128	1612	1387400	2081869	2082228	2776755	4165221	6942893	12497717	23609149	45831562	
HASH	LWC_ALGO_HASH_ORANGISHV1	Ofast	2256	128	1612	893002	1342563	1341737	1788773	2682999	4472150	8048679	15198004	29494100	
HASH	LWC_ALGO_HASH_PHOTON_BEETLE_PHOTONBEETLEHASH256RATE32V1	O1	4224	128	1616	1444156	1444537	1444808	4332379	10106589	21656855	44756350	90952929	183349974	
HASH	LWC_ALGO_HASH_PHOTON_BEETLE_PHOTONBEETLEHASH256RATE32V1	O2	4160	128	1616	1588971	1589349	1589530	4766860	11120325	23829230	49246416	100077902	201744301	
HASH	LWC_ALGO_HASH_PHOTON_BEETLE_PHOTONBEETLEHASH256RATE32V1	O3	5244	128	1616	815768	816117	816326	2447521	5708626	12232553	25280006	51371894	103559749	
HASH	LWC_ALGO_HASH_PHOTON_BEETLE_PHOTONBEETLEHASH256RATE32V1	Os	4096	128	1616	1451161	1451600	1451808	4353670	10156035	21763177	44976448	91400034	184250996	
HASH	LWC_ALGO_HASH_PHOTON_BEETLE_PHOTONBEETLEHASH256RATE32V1	Ofast	5244	128	1616	815773	816122	816311	2447545	5708594	12232514	25280027	51371906	103559772	
HASH	LWC_ALGO_HASH_SATURNIN_SATURNINHASHV2	O0	4000	112	1612	106947	106897	106980	213209	319299	531951	956633	1806370	3505971	
HASH	LWC_ALGO_HASH_SATURNIN_SATURNINHASHV2	O1	1524	112	1612	30255	30272	30287	59677	89233	148281	266366	502220	974203	
HASH	LWC_ALGO_HASH_SATURNIN_SATURNINHASHV2	O2	1712	112	1612	33781	33864	33814	66919	99845	165904	298095	562352	1090929	
HASH	LWC_ALGO_HASH_SATURNIN_SATURNINHASHV2	O3	3448	112	1612	29428	29443	29459	57947	86803	144115	258609	487964	946630	
HASH	LWC_ALGO_HASH_SATURNIN_SATURNINHASHV2	Os	1496	112	1612	31482	31498	31514	62133	92986	154421	277433	523236	1015172	
HASH	LWC_ALGO_HASH_SATURNIN_SATURNINHASHV2	Ofast	3448	112	1612	29361	29443	29460	58012	86737	144113	258590	488026	946548	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK2	O0	4180	112	1612	1903526	3806200	5708930	9514464	17125317	32347237	62791091	123678623	245453589	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK2	O1	2228	112	1612	431791	862886	1293757	2155627	3879824	7327563	14223494	28014942	55598135	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK2	O2	2220	112	1612	450776	900918	1350914	2251117	4051126	7651433	14852106	29253496	58055769	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK2	O3	4200	112	1612	205005	409073	613265	1021392	1837906	3470699	6736586	13268372	26331561	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK2	Os	2020	112	1612	473880	946898	1419914	2366129	4258118	8042566	15611368	30748807	61023774	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK2	Ofast	4200	112	1612	204996	409144	613192	1021397	1837955	3470698	6736580	13268255	26331641	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK3	O0	4216	112	1612	4479704	4479872	6719236	8958799	13438016	22396169	40312963	76145931	147812310	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK3	O1	2264	112	1612	993387	993508	1489468	1985720	2978024	4962755	8932135	16870899	32748409	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK3	O2	2248	112	1612	1026253	1026382	1538960	2051711	3076854	5127594	9228804	17431333	33836561	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK3	O3	4228	112	1612	483227	483352	724439	965308	1447534	2411692	4340243	8197374	15911256	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK3	Os	2060	112	1612	1110930	1111106	1666102	2221014	3331289	5551466	9991975	18872839	36634909	
HASH	LWC_ALGO_HASH_SKINNY_SKINNYHASHTK3	Ofast	4228	112	1612	483281	483428	724377	965302	1447619	2411659	4340337	8197295	15911225	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH256V1	O0	4920	112	1612	52644	52673	52764	73245	113630	194693	357082	681496	1330476	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH256V1	O1	4060	112	1612	12456	12485	12642	17151	26211	44197	80580	153068	297980	
