type	algorithm	optimization	text	data	bss	enc(0,0)	dec(0,0)	enc(0,8)	dec(0,8)	enc(0,16)	dec(0,16)	enc(0,24)	dec(0,24)	enc(0,32)	dec(0,32)	enc(8,0)	dec(8,0)	enc(8,8)	dec(8,8)	enc(8,16)	dec(8,16)	enc(8,24)	dec(8,24)	enc(8,32)	dec(8,32)	enc(16,0)	dec(16,0)	enc(16,8)	dec(16,8)	enc(16,16)	dec(16,16)	enc(16,24)	dec(16,24)	enc(16,32)	dec(16,32)	enc(24,0)	dec(24,0)	enc(24,8)	dec(24,8)	enc(24,16)	dec(24,16)	enc(24,24)	dec(24,24)	enc(24,32)	dec(24,32)	enc(32,0)	dec(32,0)	enc(32,8)	dec(32,8)	enc(32,16)	dec(32,16)	enc(32,24)	dec(32,24)	enc(32,32)	dec(32,32)
AEAD	LWC_ALGO_COMET_128aesv1	O0	7508	112	1612	30054	29913	45175	45344	44957	45212	60476	60603	60190	60472	46424	46790	61986	62246	61781	62175	77584	77793	77303	77655	46667	47133	62228	62674	62087	62542	77686	78132	77549	78000	63380	63953	79159	79712	79024	79562	94310	95099	94256	94817	63625	64288	79404	80057	79271	79920	94639	95294	94506	95158	
AEAD	LWC_ALGO_COMET_128aesv1	O1	3360	112	1612	14620	14568	21550	21627	21234	21591	28593	28765	28343	28666	22163	22570	29395	29848	29361	29747	36653	36918	36406	36821	22332	22831	29565	30004	29467	29970	36676	37185	36510	37014	30236	30899	37602	38135	37436	38102	44622	45395	44480	45148	30406	31097	37639	38405	37540	38234	44749	45446	44648	45347	
AEAD	LWC_ALGO_COMET_128aesv1	O2	3572	112	1612	15343	15304	22582	22735	22391	22633	30053	30236	29803	30067	23251	23658	30855	31308	30819	31206	38542	38810	38230	38707	23348	23932	31022	31470	30919	31437	38434	38950	38396	38849	31765	32363	39433	40034	39334	39932	46824	47593	46745	47346	31863	32571	39467	40245	39365	40143	46943	47654	46841	47554	
AEAD	LWC_ALGO_COMET_128aesv1	O3	4392	112	1612	14733	14695	21561	21655	21243	21619	28497	28681	28244	28580	22081	22491	29208	29667	29175	29563	36358	36627	36110	36525	22101	22687	29298	29819	29128	29720	36236	36823	36134	36656	29956	30559	37085	37761	36984	37592	44063	44841	43986	44593	29909	30691	37178	37887	37002	37722	44045	44826	44006	44725	
AEAD	LWC_ALGO_COMET_128aesv1	Os	3252	112	1612	14543	14474	21448	21518	21128	21475	28485	28643	28226	28533	22112	22512	29327	29775	29285	29666	36574	36835	36319	36726	22311	22810	29527	29962	29351	29921	36624	37130	36450	36957	30249	30909	37593	38127	37420	38088	44603	45374	44521	45124	30446	31140	37661	38362	37552	38251	44760	45457	44649	45286	
AEAD	LWC_ALGO_COMET_128aesv1	Ofast	4392	112	1612	14733	14697	21494	21654	21309	21551	28496	28613	28181	28580	22082	22558	29276	29600	29109	29565	36358	36693	36113	36527	22167	22686	29297	29820	29193	29720	36303	36821	36133	36654	29889	30561	37150	37759	36981	37592	43999	44841	43985	44595	29976	30690	37107	37824	37070	37789	44109	44825	44003	44725	
AEAD	LWC_ALGO_COMET_128chamv1	O0	7564	112	1612	368943	368871	553737	553839	553433	553640	738566	738690	738201	738492	554920	555214	739999	740333	739867	740197	924929	925197	924702	925058	555163	555624	740305	740761	740115	740569	925075	925524	924948	925401	741399	741972	926567	927101	926431	926983	1111150	1111873	1111042	1111604	741634	742371	926815	927454	926657	927238	1111356	1112011	1111230	1111860	
AEAD	LWC_ALGO_COMET_128chamv1	O1	3364	112	1612	113016	112960	169195	169400	169010	169296	225606	225772	225363	225679	169937	170280	226478	226860	226374	226760	283048	283253	282735	283212	170040	170543	226578	227083	226478	226987	283009	283516	282907	283413	227315	227914	283929	284467	283766	284415	340264	341108	340196	340800	227490	228178	284039	284728	283938	284633	340400	341092	340294	340992	
AEAD	LWC_ALGO_COMET_128chamv1	O2	3584	112	1612	114706	114664	171795	171887	171541	171854	228996	229171	228742	229068	172471	172811	229858	230244	229820	230145	287263	287529	287017	287432	172571	173079	229962	230476	229924	230441	287228	287745	287125	287643	230702	231371	288161	288763	288061	288659	345341	346179	345319	345913	230865	231576	288266	288974	288152	288870	345533	346175	345359	346146	
AEAD	LWC_ALGO_COMET_128chamv1	O3	4792	112	1612	35242	35206	52294	52453	52044	52355	69793	69978	69477	69808	52884	53292	70575	70963	70405	70859	87881	88216	87636	88114	52902	53423	70529	71051	70492	70949	87828	88345	87719	88246	71251	71857	88673	89287	88573	89116	105879	106593	105739	106413	71207	71987	88630	89412	88594	89309	105925	106577	105825	106476	
