type	algorithm	optimization	text	data	bss	h(0)	h(8)	h(16)	h(32)	h(64)	h(128)	h(256)	h(512)	h(1024)
HASH	LWC_ALGO_HASH_SUBTERRANEAN_V1	O0	3124	112	1612	824266	1574398	2324310	3824394	6824574	12824592	24824990	48825811	96827078	
HASH	LWC_ALGO_HASH_SUBTERRANEAN_V1	O1	1236	112	1612	206038	391262	576667	947413	1688730	3171602	6137066	12068376	23930622	
HASH	LWC_ALGO_HASH_SUBTERRANEAN_V1	O2	1392	112	1612	203807	386872	570105	936486	1669089	3134237	6064844	11925629	23647661	
HASH	LWC_ALGO_HASH_SUBTERRANEAN_V1	O3	1732	112	1612	212605	403802	594865	976900	1741352	3270070	6327638	12442611	24672710	
HASH	LWC_ALGO_HASH_SUBTERRANEAN_V1	Os	1220	112	1612	211575	401651	591715	971629	1731780	3252000	6292637	12373433	24535382	
HASH	LWC_ALGO_HASH_SUBTERRANEAN_V1	Ofast	1732	112	1612	212604	403756	594861	976892	1741357	3270000	6327661	12442553	24672731	
HASH	LWC_ALGO_HASH_XOODYAKV1	O0	5424	112	1612	158058	158458	158794	237812	396273	712614	1345716	2611723	5144046	
HASH	LWC_ALGO_HASH_XOODYAKV1	O1	4576	112	1612	104830	104922	105020	157104	261147	469465	885908	1718949	3384865	
HASH	LWC_ALGO_HASH_XOODYAKV1	O2	4496	112	1612	86869	86963	87058	130025	216365	388512	733322	1422514	2801059	
HASH	LWC_ALGO_HASH_XOODYAKV1	O3	5584	112	1612	66973	67036	67126	99932	165899	297897	561824	1089551	2145149	
HASH	LWC_ALGO_HASH_XOODYAKV1	Os	4444	112	1612	87676	87800	87932	131635	218643	392726	741284	1437915	2831717	
HASH	LWC_ALGO_HASH_XOODYAKV1	Ofast	5584	112	1612	67046	67036	67057	99939	165899	297838	561761	1089566	2145130	
HASH	LWC_ALGO_HASH_XOODYAKV1	Ofast	5584	112	1612	0	0	0	0	0	0	0	0	0	
HASH	LWC_ALGO_HASH_XOODYAKV1	Ofast	5584	112	1612	0	0	0	0	0	0	0	0	0	
