type	algorithm	optimization	text	data	bss	enc(0,0)	dec(0,0)	enc(0,8)	dec(0,8)	enc(0,16)	dec(0,16)	enc(0,24)	dec(0,24)	enc(0,32)	dec(0,32)	enc(8,0)	dec(8,0)	enc(8,8)	dec(8,8)	enc(8,16)	dec(8,16)	enc(8,24)	dec(8,24)	enc(8,32)	dec(8,32)	enc(16,0)	dec(16,0)	enc(16,8)	dec(16,8)	enc(16,16)	dec(16,16)	enc(16,24)	dec(16,24)	enc(16,32)	dec(16,32)	enc(24,0)	dec(24,0)	enc(24,8)	dec(24,8)	enc(24,16)	dec(24,16)	enc(24,24)	dec(24,24)	enc(24,32)	dec(24,32)	enc(32,0)	dec(32,0)	enc(32,8)	dec(32,8)	enc(32,16)	dec(32,16)	enc(32,24)	dec(32,24)	enc(32,32)	dec(32,32)
AEAD	LWC_ALGO_ASCON_128v12	Ofast	3608	112	1612	21219	21325	31418	31522	36535	36640	41650	41823	46835	46947	26606	26750	36739	36950	41923	42001	47037	47119	52156	52300	31903	32051	42035	42251	47218	47363	52341	52484	57527	57663	37197	37346	47399	47551	52515	52663	57698	57842	62817	62963	42494	42714	52693	52839	57876	57958	62994	63140	68316	68468	
AEAD	LWC_ALGO_ASCON_80pqv12	O0	12928	112	1612	126573	127426	187981	189009	218977	220159	249706	251023	280789	282053	157970	159000	219370	220583	250162	251447	281104	282515	311950	313326	189141	190219	250545	251796	281553	282886	312346	313811	343286	344893	220470	221787	281934	283366	312725	314225	343672	345298	374467	376110	251718	253079	313048	314640	344059	345735	374836	376601	405867	407680	
AEAD	LWC_ALGO_ASCON_80pqv12	O1	3584	112	1612	21181	21295	31249	31355	36307	36412	41432	41471	46487	46593	26509	26656	36509	36653	41567	41778	46695	46833	51749	51892	31743	31896	41811	41957	46874	47014	51989	52152	57056	57131	36978	37138	47048	47196	52105	52253	57228	57312	62287	62438	42279	42440	52286	52435	57404	57565	62461	62622	67732	67882	
AEAD	LWC_ALGO_ASCON_80pqv12	O2	3660	112	1612	21429	21523	31629	31727	36745	36842	41862	42020	47048	47143	26816	26888	36952	37087	42133	42202	47252	47387	52370	52572	32114	32250	42250	42449	47431	47567	52545	52687	57731	57799	37411	37550	47611	47748	52728	52863	57909	57986	63029	63167	42708	42914	52909	53046	58093	58163	63143	63352	68600	68737	
AEAD	LWC_ALGO_ASCON_80pqv12	O3	3668	112	1612	21427	21523	31626	31722	36739	36839	41863	42021	47043	47138	26814	26887	36945	37086	42130	42200	47254	47386	52364	52571	32114	32251	42243	42446	47426	47561	52545	52686	57726	57798	37406	37547	47605	47745	52725	52859	57911	57977	63022	63163	42702	42910	52901	53043	58082	58158	63135	63345	68596	68733	
AEAD	LWC_ALGO_ASCON_80pqv12	Os	3436	112	1612	27813	27930	40949	40937	47524	47574	54100	54216	60745	60727	34799	34848	47872	47913	54511	54557	61081	61138	67932	67919	41792	41765	54853	54903	61356	61477	68210	68257	74848	74881	48698	48747	61702	61813	68548	68594	75196	75170	81766	81816	55681	55662	68889	68934	75460	75578	82106	82158	88683	88798	
AEAD	LWC_ALGO_ASCON_80pqv12	Ofast	3668	112	1612	21427	21525	31626	31721	36743	36839	41926	42023	47043	47138	26748	26953	37015	37150	42130	42200	47245	47384	52430	52500	32110	32251	42309	42446	47426	47566	52613	52752	57728	57798	37475	37615	47609	47742	52789	52929	57837	58044	63023	63162	42774	42845	52970	53107	58019	58230	63203	63342	68527	68666	
AEAD	LWC_ALGO_COMET_128aesv1	O0	7500	112	1612	30053	29912	45240	45280	44956	45145	60477	60604	60194	60471	46423	46789	61983	62310	61845	62178	77582	77792	77237	77657	46671	47130	62230	62675	62027	62542	77686	78132	77552	77998	63381	63945	79157	79712	79024	79579	94372	95093	94261	94816	63626	64291	79407	80058	79268	79918	94572	95290	94505	95154	
AEAD	LWC_ALGO_COMET_128aesv1	O1	3380	112	1612	14621	14567	21482	21627	21233	21525	28525	28765	28343	28664	22225	22635	29396	29849	29294	29748	36652	36920	36406	36820	22267	22767	29562	30071	29465	29970	36610	37118	36511	37019	30302	30832	37601	38133	37435	38032	44624	45396	44549	45145	30406	31096	37703	38334	37538	38301	44685	45446	44648	45282	
AEAD	LWC_ALGO_COMET_128aesv1	O2	3580	112	1612	15342	15304	22577	22736	22326	22700	30054	30238	29804	30137	23318	23724	30921	31307	30820	31204	38476	38808	38297	38703	23419	23864	31019	31538	30915	31438	38433	38950	38395	38914	31766	32364	39433	39969	39267	39936	46758	47590	46742	47344	31865	32573	39468	40179	39428	40077	46947	47653	46841	47556	
AEAD	LWC_ALGO_COMET_128aesv1	O3	4400	112	1612	14733	14695	21495	21654	21243	21553	28431	28681	28180	28579	22147	22491	29210	29666	29111	29565	36358	36625	36110	36526	22101	22621	29296	29755	29195	29720	36301	36823	36132	36655	29958	30558	37086	37759	37050	37590	44064	44842	43984	44530	29975	30691	37106	37822	37069	37720	44110	44825	44008	44725	
AEAD	LWC_ALGO_COMET_128aesv1	Os	3256	112	1612	14543	14475	21385	21517	21128	21409	28418	28643	28162	28534	22179	22513	29327	29776	29285	29666	36572	36836	36319	36725	22247	22744	29527	30030	29416	29920	36560	37065	36452	36956	30312	30909	37594	38129	37418	38018	44603	45376	44453	45121	30446	31138	37659	38360	37553	38317	44759	45461	44651	45351	
AEAD	LWC_ALGO_COMET_128aesv1	Ofast	4400	112	1612	14734	14695	21496	21654	21244	21554	28496	28613	28244	28579	22081	22491	29277	29666	29174	29499	36358	36627	36112	36525	22099	22691	29299	29820	29129	29720	36236	36757	36133	36656	29955	30563	37150	37693	36984	37592	44062	44777	43986	44595	29909	30690	37107	37891	37006	37726	44111	44825	43939	44723	
AEAD	LWC_ALGO_COMET_128chamv1	O0	7556	112	1612	368937	368876	553735	553755	553453	553702	738563	738691	738218	738494	554858	555283	740009	740339	739862	740187	924924	925199	924705	925059	555157	555625	740251	740699	740119	740551	925089	925542	924886	925393	741402	741962	926560	927123	926426	926979	1111154	1111815	1111043	1111601	741645	742311	926729	927463	926672	927326	1111411	1112074	1111226	1111940	
AEAD	LWC_ALGO_COMET_128chamv1	O1	3384	112	1612	113013	112964	169255	169402	168945	169230	225606	225774	225426	225677	169942	170345	226478	226927	226376	226759	283048	283309	282737	283215	169975	170541	226648	227145	226463	226979	283004	283447	282908	283347	227315	227913	283911	284532	283816	284434	340269	341043	340189	340794	227422	228105	284027	284736	283933	284617	340398	341091	340300	341002	
AEAD	LWC_ALGO_COMET_128chamv1	O2	3592	112	1612	114700	114663	171796	171953	171546	171784	228994	229171	228741	229072	172407	172874	229857	230245	229758	230147	287265	287532	287021	287430	172504	173080	229963	230480	229856	230442	287224	287745	287130	287639	230768	231368	288161	288767	288056	288666	345401	346110	345330	345865	230871	231574	288269	288972	288151	288934	345464	346236	345366	346121	
AEAD	LWC_ALGO_COMET_128chamv1	O3	4800	112	1612	35241	35205	52363	52522	52045	52425	69726	69977	69475	69876	52882	53359	70576	70966	70473	70797	87882	88149	87706	88118	52967	53423	70528	71051	70428	71016	87824	88282	87725	88243	71185	71792	88674	89217	88573	89183	105813	106659	105738	106414	71207	71923	88630	89345	88593	89245	105925	106578	105758	106542	
AEAD	LWC_ALGO_COMET_128chamv1	Os	3164	112	1612	124018	123955	185669	185872	185486	185768	247584	247741	247329	247640	186468	186869	248492	248943	248453	248761	310555	310816	310297	310767	186607	187032	248693	249196	248518	249087	310607	311041	310434	310934	249465	250010	311570	312181	311400	312070	373456	374170	373313	373926	249614	250240	311702	312339	311591	312298	373559	374256	373506	374147	
AEAD	LWC_ALGO_COMET_128chamv1	Ofast	4800	112	1612	35241	35205	52295	52455	52044	52356	69792	69977	69545	69874	52947	53358	70570	70896	70406	70797	87880	88217	87700	88049	52901	53422	70530	71118	70492	70949	87758	88349	87722	88177	71187	71857	88607	89216	88572	89116	105879	106592	105803	106412	71205	71987	88631	89412	88526	89315	105857	106641	105755	106541	
AEAD	LWC_ALGO_COMET_64chamv1	O0	7180	112	1612	202666	202592	303035	303243	403931	404131	504518	504728	605318	605546	303776	304242	404756	405236	505341	505889	606226	606685	706793	707444	405483	406056	506310	506828	607114	607693	707772	708361	808584	809101	507030	507713	607992	608691	708594	709301	809399	810139	910034	910921	608732	609528	709491	710359	810298	811158	910947	911777	1011842	1012630	
AEAD	LWC_ALGO_COMET_64chamv1	O1	3156	112	1612	40425	40306	59725	59861	79440	79573	98943	99077	118445	118669	60067	60398	79877	80275	99389	99789	118893	119356	138638	139138	80270	80762	99876	100436	119449	119927	139095	139655	158660	159127	100250	100834	119850	120515	139637	140219	159136	159699	178612	179370	120222	120973	140101	140787	159611	160297	179179	179851	198823	199484	
AEAD	LWC_ALGO_COMET_64chamv1	O2	3244	112	1612	42308	42264	62547	62693	83209	83353	103654	103801	124099	124335	62886	63294	83634	84052	104155	104504	124532	125013	145225	145872	84033	84550	104642	105160	125031	125617	145747	146266	166258	166758	104954	105566	125565	126179	146282	146907	166733	167262	187083	187939	125936	126647	146690	147401	167208	167855	187652	188367	208307	208993	
