type	algorithm	optimization	text	data	bss	h(0)	h(8)	h(16)	h(32)	h(64)	h(128)	h(256)	h(512)	h(1024)
HASH	LWC_ALGO_HASH_SPARKLE_ESCH256V1	O3	5152	112	1544	8651	8714	8717	11872	18220	30866	56155	106871	208304	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH256V1	Os	3744	112	1544	8629	8689	8742	11891	18190	30837	56081	106811	208388	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH256V1	Ofast	5152	112	1544	8651	8715	8769	11924	18220	30863	56099	106823	208310	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH384V1	O0	4772	112	1544	83078	83139	83187	106893	154455	249374	439372	819458	1579637	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH384V1	O1	3892	112	1544	14390	14451	14450	18486	26491	42453	74568	138593	266665	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH384V1	O2	3880	112	1544	14477	14540	14543	18604	26657	42715	75019	139440	268274	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH384V1	O3	5172	112	1544	15653	15715	15768	20112	28779	46220	81186	150987	290486	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH384V1	Os	3764	112	1544	16380	16441	16494	21102	30214	48489	85238	158578	305222	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH384V1	Ofast	5172	112	1544	15653	15716	15770	20163	28832	46221	81189	150938	290482	
HASH	LWC_ALGO_HASH_SUBTERRANEAN_V1	O0	2324	112	1544	558658	1065752	1572666	2586934	4615184	8671646	16784635	33010496	65462214	
HASH	LWC_ALGO_HASH_SUBTERRANEAN_V1	O1	1192	112	1544	166394	316793	467420	768266	1370064	2574005	4981547	9796543	19426453	
HASH	LWC_ALGO_HASH_SUBTERRANEAN_V1	O2	1212	112	1544	146074	277234	408335	670528	1194988	2243860	4341606	8537223	16928301	
HASH	LWC_ALGO_HASH_SUBTERRANEAN_V1	O3	1504	112	1544	107946	202883	297611	487209	866513	1624962	3141880	6176027	12243933	
HASH	LWC_ALGO_HASH_SUBTERRANEAN_V1	Os	1132	112	1544	163202	310004	456857	750646	1338084	2512938	4862645	9561871	18960629	
HASH	LWC_ALGO_HASH_SUBTERRANEAN_V1	Ofast	1504	112	1544	107944	202883	297610	487262	866517	1624948	3141938	6176016	12243912	
HASH	LWC_ALGO_HASH_XOODYAKV1	O0	5324	112	1544	112468	112764	113059	169550	282420	508115	959579	1862608	3668317	
HASH	LWC_ALGO_HASH_XOODYAKV1	O1	4476	112	1544	35192	35218	35353	52604	87413	156890	295756	573463	1129132	
HASH	LWC_ALGO_HASH_XOODYAKV1	O2	4408	112	1544	26908	26988	27068	40265	66804	119536	225503	437031	860448	
HASH	LWC_ALGO_HASH_XOODYAKV1	O3	5532	112	1544	12769	12749	12767	18812	30842	54906	103177	199671	392372	
HASH	LWC_ALGO_HASH_XOODYAKV1	Os	4312	112	1544	28725	28864	28950	43097	71528	128106	241592	468620	922379	
HASH	LWC_ALGO_HASH_XOODYAKV1	Ofast	5532	112	1544	12716	12803	12820	18812	30841	54854	103179	199704	392369	
