type	algorithm	optimization	text	data	bss	enc(0,0)	dec(0,0)	enc(0,8)	dec(0,8)	enc(0,16)	dec(0,16)	enc(0,24)	dec(0,24)	enc(0,32)	dec(0,32)	enc(8,0)	dec(8,0)	enc(8,8)	dec(8,8)	enc(8,16)	dec(8,16)	enc(8,24)	dec(8,24)	enc(8,32)	dec(8,32)	enc(16,0)	dec(16,0)	enc(16,8)	dec(16,8)	enc(16,16)	dec(16,16)	enc(16,24)	dec(16,24)	enc(16,32)	dec(16,32)	enc(24,0)	dec(24,0)	enc(24,8)	dec(24,8)	enc(24,16)	dec(24,16)	enc(24,24)	dec(24,24)	enc(24,32)	dec(24,32)	enc(32,0)	dec(32,0)	enc(32,8)	dec(32,8)	enc(32,16)	dec(32,16)	enc(32,24)	dec(32,24)	enc(32,32)	dec(32,32)
AEAD	LWC_ALGO_ASCON_128av12	Os	19580	112	1616	14784	14844	19507	19606	24141	24184	24384	24364	29018	28994	15099	15190	19874	19899	24562	24528	24753	24764	29384	29390	20008	19993	24679	24703	29366	29385	29553	29566	34192	34194	20326	20339	25099	25048	29738	29730	29923	29913	34558	34541	25177	25192	29907	29852	34589	34533	34728	34766	39361	39343	
AEAD	LWC_ALGO_ASCON_128av12	Ofast	19708	112	1616	13636	13707	17978	18108	22286	22366	22494	22579	26748	26882	13930	14006	18274	18353	22634	22714	22739	22822	27097	27126	18369	18456	22766	22857	27076	27166	27233	27325	31536	31629	18666	18754	23009	23101	27371	27463	27475	27623	31833	31924	23091	23176	27487	27523	31796	31888	31951	32044	36258	36352	
AEAD	LWC_ALGO_ASCON_128v12	O0	22656	112	1616	37742	37588	55855	55416	65002	64511	74406	73799	83558	82833	47246	46978	65307	64815	74704	74042	83913	83173	93007	92224	56699	56374	74957	74403	84160	83440	93366	92530	102565	101623	66403	65910	84466	83738	93668	92778	102871	101920	112010	110956	75855	75300	93968	93129	103172	102223	112318	111258	121524	120295	
AEAD	LWC_ALGO_ASCON_128v12	O1	18980	112	1616	13529	13719	19975	20188	23179	23470	26490	26804	29744	30088	16916	17164	23366	23632	26619	26967	29874	30253	33132	33533	20343	20637	26685	27105	29995	30388	33248	33671	36558	37007	23667	24006	30110	30525	33366	33809	36622	37091	39878	40426	27041	27479	33485	33947	36741	37231	40051	40567	43306	43848	
AEAD	LWC_ALGO_ASCON_128v12	O2	19028	112	1616	13621	13712	20113	20209	23337	23432	26667	26762	29946	30040	17034	17148	23524	23590	26802	26921	30086	30198	33361	33526	20439	20563	26928	27057	30207	30283	33537	33616	36811	36943	23838	23978	30328	30472	33606	33751	36883	37032	40212	40362	27294	27445	33734	33887	37010	37165	40339	40442	43616	43721	
AEAD	LWC_ALGO_ASCON_128v12	O3	19044	112	1616	13621	13712	20113	20209	23337	23432	26667	26762	29946	30040	17034	17148	23524	23590	26802	26921	30086	30198	33361	33526	20439	20563	26928	27057	30207	30283	33537	33616	36811	36943	23838	23978	30328	30472	33606	33751	36883	37032	40212	40362	27294	27445	33734	33887	37010	37165	40339	40442	43616	43721	
AEAD	LWC_ALGO_ASCON_128v12	Os	18892	112	1616	14767	14756	21772	21747	25256	25326	28851	28858	32389	32386	18479	18503	25432	25494	29021	29022	32562	32549	36097	36077	22189	22248	29142	29187	32733	32713	36267	36243	39812	39826	25900	25943	32905	32881	36499	36462	39984	39939	43572	43517	29609	29636	36614	36575	40209	40105	43746	43630	47287	47211	
AEAD	LWC_ALGO_ASCON_128v12	Ofast	19044	112	1616	13621	13712	20059	20154	23340	23432	26668	26711	29945	30040	17034	17148	23473	23589	26802	26868	30080	30198	33358	33477	20439	20562	26926	27060	30207	30335	33482	33665	36760	36894	23838	24030	30332	30472	33605	33750	36884	37029	40215	40307	27292	27394	33731	33887	37064	37218	40288	40447	43615	43773	
AEAD	LWC_ALGO_ASCON_80pqv12	O0	23136	112	1616	38254	38113	56258	55892	65458	64981	74859	74217	84011	83305	47707	47448	65963	65282	75169	74568	84315	83611	93512	92701	57159	56787	75473	74872	84617	83908	93820	92998	103015	102092	66869	66379	84927	84207	94126	93242	103277	102332	112472	111430	76377	75770	94424	93547	103577	102635	112782	111726	121925	120816	
AEAD	LWC_ALGO_ASCON_80pqv12	O1	19004	112	1616	13691	13813	20134	20388	23336	23619	26647	26899	29903	30237	17076	17310	23470	23779	26780	27061	30036	30399	33288	33679	20449	20731	26895	27251	30150	30535	33406	33870	36666	37100	23823	24204	30272	30672	33525	33956	36781	37238	40088	40525	27250	27576	33645	34093	36952	37431	40156	40662	43465	43997	
AEAD	LWC_ALGO_ASCON_80pqv12	O2	19092	112	1616	13786	13825	20276	20375	23504	23601	26833	26880	30107	30209	17198	17316	23637	23760	26969	27040	30243	30370	33521	33644	20600	20731	27091	27175	30368	30504	33645	33783	36922	37060	24054	24199	30493	30641	33771	33922	37099	37249	40325	40476	27460	27613	33895	34110	37172	37340	40451	40665	43726	43945	
AEAD	LWC_ALGO_ASCON_80pqv12	O3	19108	112	1616	13785	13825	20276	20375	23504	23601	26833	26880	30107	30209	17198	17316	23637	23760	26969	27040	30243	30370	33521	33644	20600	20731	27091	27175	30368	30504	33645	33783	36922	37060	24054	24199	30493	30641	33771	33922	37099	37249	40325	40476	27460	27613	33895	34110	37172	37340	40451	40665	43726	43945	
AEAD	LWC_ALGO_ASCON_80pqv12	Os	18944	112	1616	14968	14994	21915	21929	25501	25509	29039	29036	32572	32564	18676	18687	25674	25679	29209	29203	32745	32730	36281	36258	22436	22433	29380	29370	32915	32903	36450	36425	40041	39951	26139	26127	33090	33067	36622	36592	40210	40172	43745	43697	29848	29821	36793	36761	40329	40337	43866	43869	47452	47393	
AEAD	LWC_ALGO_ASCON_80pqv12	Ofast	19108	112	1616	13786	13877	20224	20323	23501	23654	26778	26931	30107	30209	17201	17313	23637	23812	26914	27093	30246	30367	33521	33647	20601	20728	27090	27225	30316	30510	33647	33783	36923	37060	24058	24146	30497	30641	33770	33920	37048	37200	40325	40527	27403	27613	33897	34060	37173	37334	40502	40667	43779	43949	
AEAD	LWC_ALGO_COMET_128aesv1	O0	22840	112	1616	19515	19626	29465	29746	29215	29618	39484	39789	39180	39606	30201	30682	40470	40932	40285	40802	50556	50970	50308	50845	30352	30876	40620	41148	40489	41019	50587	51116	50457	50985	41369	41948	51585	52170	51454	52041	61580	62307	61473	62058	41520	42092	51735	52364	51656	52291	61755	62384	61626	62253	
AEAD	LWC_ALGO_COMET_128aesv1	O1	18988	112	1616	8895	8978	12907	13152	12787	13157	17162	17430	17092	17434	13017	13438	17343	17798	17347	17751	21770	22024	21601	22028	13131	13595	17457	17927	17460	17982	21712	22181	21715	22186	17615	18119	21995	22449	21943	22454	26227	26823	26199	26708	17727	18277	22054	22608	22058	22612	26310	26914	26312	26919	
AEAD	LWC_ALGO_COMET_128aesv1	O2	18964	112	1616	9176	9224	13296	13515	13179	13520	17677	17969	17559	17972	13364	13825	17853	18243	17857	18249	22351	22644	22287	22651	13534	13986	18023	18428	18027	18436	22401	22860	22354	22813	18208	18659	22589	23101	22595	23155	26946	27651	26973	27538	18269	18822	22704	23317	22710	23266	27139	27644	27142	27648	
AEAD	LWC_ALGO_COMET_128aesv1	O3	19680	112	1616	7944	7991	11268	11538	11202	11543	14955	15191	14839	15199	11355	11711	15048	15437	15055	15444	18804	19095	18689	19100	11425	11878	15117	15576	15123	15579	18752	19211	18809	19215	15218	15722	18910	19419	18915	19424	22576	23221	22550	23059	15286	15838	18979	19535	18984	19540	22665	23169	22619	23229	
AEAD	LWC_ALGO_COMET_128aesv1	Os	18588	112	1616	9023	9055	13194	13388	12958	13278	17506	17776	17271	17610	13464	13857	17954	18323	17840	18211	22385	22656	22205	22594	13491	13933	17983	18419	17867	18308	22345	22781	22179	22617	18299	18789	22838	23333	22674	23219	27078	27760	26990	27527	18325	18866	22813	23354	22701	23241	27180	27716	27068	27550	
AEAD	LWC_ALGO_COMET_128aesv1	Ofast	19680	112	1616	7942	7939	11320	11537	11200	11490	14955	15195	14837	15148	11304	11763	15049	15438	15055	15443	18801	19095	18688	19101	11425	11877	15117	15576	15123	15528	18752	19263	18758	19268	15215	15722	18962	19418	18965	19475	22523	23174	22602	23111	15285	15837	19029	19586	18985	19591	22614	23169	22670	23228	
