type	algorithm	optimization	text	data	bss	enc(0,0)	dec(0,0)	enc(0,8)	dec(0,8)	enc(0,16)	dec(0,16)	enc(0,24)	dec(0,24)	enc(0,32)	dec(0,32)	enc(8,0)	dec(8,0)	enc(8,8)	dec(8,8)	enc(8,16)	dec(8,16)	enc(8,24)	dec(8,24)	enc(8,32)	dec(8,32)	enc(16,0)	dec(16,0)	enc(16,8)	dec(16,8)	enc(16,16)	dec(16,16)	enc(16,24)	dec(16,24)	enc(16,32)	dec(16,32)	enc(24,0)	dec(24,0)	enc(24,8)	dec(24,8)	enc(24,16)	dec(24,16)	enc(24,24)	dec(24,24)	enc(24,32)	dec(24,32)	enc(32,0)	dec(32,0)	enc(32,8)	dec(32,8)	enc(32,16)	dec(32,16)	enc(32,24)	dec(32,24)	enc(32,32)	dec(32,32)
AEAD	LWC_ALGO_COMET_64chamv1	Os	2476	112	1544	24951	24841	36674	36784	48706	48819	60743	60855	72914	73053	36819	37113	48862	49168	60895	61203	73125	73432	85086	85531	49055	49353	61100	61457	73278	73686	85312	85667	97345	97680	61237	61645	73472	73948	85514	85927	97548	97941	109555	110066	73610	74080	85713	86187	97748	98220	109784	110256	121764	122272	
AEAD	LWC_ALGO_COMET_64chamv1	Ofast	3788	112	1544	9922	9759	14180	14290	18694	18814	23258	23381	27718	27921	14204	14457	18785	19150	23300	23621	27863	28190	32353	32825	18927	19292	23457	23828	28022	28402	32535	32919	37099	37466	23535	24010	28116	28601	32680	33122	37194	37616	41737	42275	28247	28727	32829	33316	37394	37839	41906	42407	46419	46903	
AEAD	LWC_ALGO_COMET_64speckv1	O0	6372	112	1544	119066	118982	178193	178393	237622	237769	296689	296834	355981	356157	178641	179077	238100	238497	297420	297833	356691	357098	416196	416748	238526	238984	298049	298569	357378	357842	416706	417176	476154	476544	298681	299199	357957	358484	417386	417911	476828	477284	536202	536819	358425	359001	417788	418373	477397	477995	536907	537450	596046	596614	
AEAD	LWC_ALGO_COMET_64speckv1	O1	2956	112	1544	32218	32143	47696	47843	63431	63578	79275	79427	94978	95150	47747	48085	63539	63883	79447	79790	95153	95491	110880	111368	63631	64021	79643	80041	95358	95755	111063	111464	126802	127172	79764	80201	95524	95969	111264	111710	126992	127369	142838	143476	95611	96101	111393	111886	127169	127662	143107	143602	158774	159245	
AEAD	LWC_ALGO_COMET_64speckv1	O2	2908	112	1544	27750	27585	40936	40996	54377	54493	68023	68155	81491	81641	41038	41336	54505	54863	68158	68473	81616	81935	95010	95421	54680	55033	68372	68729	81884	82195	95233	95655	108713	109069	68495	68900	82048	82457	95487	95907	108912	109319	122335	122909	82205	82665	95742	96212	109138	109556	122550	123034	136195	136653	
AEAD	LWC_ALGO_COMET_64speckv1	O3	3572	112	1544	13763	13653	19937	20048	26423	26545	32860	32985	39296	39499	19952	20258	26530	26844	32958	33277	39380	39706	45797	46320	26605	26971	33118	33488	39612	39993	46034	46416	52520	52885	33197	33672	39710	40140	46190	46630	52599	53017	59072	59613	39782	40264	46343	46831	52769	53267	59231	59680	65876	66359	
AEAD	LWC_ALGO_COMET_64speckv1	Os	2552	112	1544	29722	29612	43823	43985	58282	58394	72912	73025	87273	87414	43924	44271	58401	58754	73013	73368	87430	87736	101812	102254	58601	58956	73267	73629	87684	88042	102043	102411	116508	116846	73351	73814	87837	88255	102302	102665	116660	117053	65557	197391	87987	88454	102513	102945	116870	117341	131517	131989	145898	146397	
AEAD	LWC_ALGO_COMET_64speckv1	Ofast	3572	112	1544	13765	13652	19935	20050	26423	26493	32860	32984	39348	39500	19953	20258	26532	26845	32959	33279	39434	39760	45849	46319	26607	26920	33118	33489	39614	39942	46034	46420	52471	52830	33196	33620	39709	40191	46190	46631	52652	53072	59023	59662	39783	40315	46287	46830	52769	53322	59175	59729	65874	66359	
AEAD	LWC_ALGO_DRYGASCON_128	O0	7708	112	1544	195659	195882	348658	348893	348630	348858	500973	501203	500984	501226	349167	349511	501956	502297	501869	502230	654267	654612	654243	654582	349136	349596	501879	502334	501897	502357	654245	654707	654222	654671	502033	502378	654812	655169	654795	655149	807333	807688	807351	807697	502004	502459	654740	655247	654763	655226	807316	807753	807340	807746	
AEAD	LWC_ALGO_DRYGASCON_128	O1	5836	112	1544	69306	69520	122946	123157	122876	123147	176458	176686	176445	176665	123095	123388	176922	177215	176855	177200	230442	230785	230371	230718	123083	123483	176861	177311	176847	177305	230426	230881	230366	230817	176811	177148	230634	230978	230574	230916	284152	284494	284098	284482	176801	177246	230575	231033	230616	231013	284141	284587	284128	284576	
AEAD	LWC_ALGO_DRYGASCON_128	O2	5800	112	1544	65255	65466	116240	116444	116280	116435	166968	167173	167006	167214	116386	116708	167418	167741	167360	167680	218151	218416	218137	218412	116428	116862	167356	167793	167396	167782	218133	218572	218132	218515	167346	167665	218329	218656	218319	218637	269058	269383	269031	269368	167281	167719	218318	218693	218250	218742	268991	269483	269032	269467	
AEAD	LWC_ALGO_DRYGASCON_128	O3	7056	112	1544	36451	36658	64728	64936	64718	64926	92948	93108	92938	93145	64761	65156	93230	93627	93226	93615	121205	121597	121195	121590	64801	65258	93222	93729	93215	93723	121249	121706	121237	121747	93042	93381	121266	121663	121312	121645	149539	149940	149475	149869	93030	93541	121252	121812	121248	121804	149481	149982	149523	150024	
AEAD	LWC_ALGO_DRYGASCON_128	Os	5584	112	1544	73123	73341	129647	129876	129642	129858	186121	186349	186110	186327	129811	130155	186584	186934	186576	186924	243000	243345	242991	243339	129800	130258	186573	186987	186565	186972	242996	243498	242978	243446	186435	186817	243203	243541	243190	243532	299661	299964	299661	300007	186414	186921	243189	243648	243183	243642	299656	300118	299654	300050	
AEAD	LWC_ALGO_DRYGASCON_128	Ofast	7056	112	1544	36505	36709	64729	64931	64718	64925	92948	93154	92939	93142	64757	65159	93228	93580	93220	93619	121208	121658	121193	121644	64749	65313	93170	93732	93213	93672	121199	121704	121235	121692	93026	93434	121269	121713	121257	121702	149479	149877	149523	149914	92977	93536	121307	121816	121296	121804	149478	149990	149522	149970	
AEAD	LWC_ALGO_DRYGASCON_256	O0	7988	112	1544	388338	388709	593370	593776	593396	593754	797882	798309	797853	798271	593900	594401	798737	799279	798695	799246	1003214	1003798	1003226	1003754	593841	594493	798708	799356	798672	799331	1003232	1003831	1003206	1003866	798955	799484	1003809	1004307	1003732	1004338	1208282	1208863	1208259	1208815	798906	799560	1003764	1004432	1003759	1004403	1208254	1208916	1208282	1208892	
AEAD	LWC_ALGO_DRYGASCON_256	O1	5908	112	1544	138082	138494	210043	210457	210029	210439	281804	282220	281812	282218	210195	210735	282199	282742	282195	282729	353938	354464	353913	354439	210182	210838	282198	282789	282177	282777	353925	354565	353965	354556	282156	282646	354181	354661	354174	354650	425856	426392	425835	426420	282109	282801	354118	354814	354104	354797	425850	426521	425834	426522	
AEAD	LWC_ALGO_DRYGASCON_256	O2	5944	112	1544	130485	130878	199265	199665	199208	199602	267585	267983	267524	267973	199362	199937	267905	268481	267944	268463	336275	336790	336259	336781	199350	199990	267949	268581	267888	268563	336266	336891	336250	336870	267864	268430	336451	337024	336446	336962	404816	405333	404766	405273	267908	268471	336441	337075	336421	337046	404754	405386	404754	405379	
AEAD	LWC_ALGO_DRYGASCON_256	O3	7940	112	1544	67926	68327	103639	103986	103631	104033	139210	139659	139251	139651	103670	104255	139513	140095	139509	140048	174946	175542	174934	175527	103605	104304	139519	140212	139444	140202	174938	175640	174873	175626	139354	139882	175014	175597	174999	175590	210633	211216	210621	211212	139341	140045	175006	175698	174990	175691	210681	211319	210606	211367	
AEAD	LWC_ALGO_DRYGASCON_256	Os	5700	112	1544	144759	145163	220551	220963	220540	220949	296066	296478	296102	296469	220710	221194	296502	296986	296501	296981	372012	372551	372055	372599	220642	221340	296489	297131	296433	297117	372008	372654	371985	372642	296465	296956	372218	372748	372247	372791	447786	448317	447775	448302	296462	297105	372192	372847	372239	372895	447774	448419	447765	448409	
AEAD	LWC_ALGO_DRYGASCON_256	Ofast	7940	112	1544	67977	68380	103582	103985	103622	104021	139259	139659	139246	139595	103649	104202	139516	140054	139505	140101	174951	175543	174943	175524	103608	104359	139457	140207	139496	140202	174938	175643	174928	175625	139340	139934	175013	175593	174996	175583	210632	211218	210630	211211	139342	139992	174994	175696	174992	175687	210620	211324	210614	211306	
AEAD	LWC_ALGO_AEAD_ELEPHANT_160V1	O0	3872	1136	1544	3209214	3209633	4815556	4815923	4815663	4815981	4815654	4816020	6421786	6422144	6418816	6419171	8025181	8025570	8025225	8025651	8025267	8025614	9631408	9631739	6419180	6419596	8025481	8025933	8025564	8025955	8025598	8025941	9631765	9632116	9628532	9628878	11234906	11235321	11234937	11235292	11234981	11235325	12841118	12841471	9628909	9629287	11235228	11235588	11235291	11235697	11235363	11235752	12841476	12841805	
AEAD	LWC_ALGO_AEAD_ELEPHANT_160V1	O1	2876	1136	1544	1058531	1058693	1588063	1588177	1588277	1588377	1588271	1588365	2117991	2118101	2117134	2117266	2646736	2646839	2646872	2646985	2646921	2647049	3176596	3176742	2117289	2117404	2646847	2646963	2647014	2647119	2647058	2647162	3176707	3176867	3175549	3175616	3705092	3705165	3705312	3705378	3705316	3705403	4234989	4235081	3175702	3175802	3705202	3705338	3705377	3705547	3705376	3705503	4235130	4235227	
AEAD	LWC_ALGO_AEAD_ELEPHANT_160V1	O2	2800	1136	1544	1080068	1080169	1620487	1620576	1620621	1620718	1620613	1620711	2161147	2161225	2160389	2160476	2700958	2701073	2701138	2701159	2701128	2701211	3241599	3241757	2160532	2160641	2701029	2701191	2701264	2701352	2701281	2701355	3241729	3241876	3240555	3240676	3781000	3781058	3781107	3781217	3781123	3781190	4321694	4321726	3240744	3240796	3781074	3781182	3781215	3781357	3781240	3781344	4321774	4321881	
AEAD	LWC_ALGO_AEAD_ELEPHANT_160V1	O3	3484	1136	1544	948032	948120	1422119	1422212	1422313	1422400	1422301	1422394	1896551	1896598	1896230	1896289	2370430	2370525	2370644	2370723	2370633	2370701	2844878	2844953	1896302	1896384	2370522	2370623	2370711	2370794	2370701	2370804	2844961	2844985	2844185	2844292	3318274	3318349	3318503	3318596	3318458	3318522	3792708	3792767	2844263	2844312	3318360	3318405	3318478	3318592	3318499	3318592	3792760	3792827	
AEAD	LWC_ALGO_AEAD_ELEPHANT_160V1	Os	2608	1136	1544	1002621	1002786	1503991	1504102	1504037	1504137	1504039	1504145	2005554	2005673	2004775	2004926	2506219	2506391	2506269	2506465	2506256	2506455	3007648	3007806	2004912	2005039	2506339	2506560	2506443	2506570	2506411	2506572	3007780	3007890	3006585	3006745	3508120	3508213	3508164	3508274	3508164	3508345	4009676	4009837	3006679	3006849	3508254	3508320	3508307	3508445	3508291	3508375	4009849	4009942	
